script,runtime,timestamp,server,cpu,gpu,server_sku,cpu_sku,gpu_sku,cpu_cores,model,dataset,mode,device,devices,dtype,quant,quant_detail,precision,tf32,samples,batch_size,batch_sizes_swept,replicas,replicas_swept,precisions_swept,resolution,steps,warmup,seed,threads,cpu_bind,compile,compile_detail,cpu_offload,batched,loaded_dtype,diffusion_batch_size,sla_seconds,sla_percentile,num_shards,gpu_placement,workload,sla_ms,think_time_s,measure_s,batch_wait_ms,pre_workers,processor,requests_per_level,drop_after,early_stop,images,compute_s_max,compute_s_sum,images_per_second,avg_ms_per_image,avg_s_per_image,denoising_steps_per_s,top1_correct,top1_accuracy,measured_s,cpu_launch_ms,gpu_ms,bound_by,denoise_s_per_image,other_s_per_image,denoise_pct,calibrated_mu_rps,calibrated_service_s,service_p95_s,service_cv2,replica_rss_gib_max,gpu_peak_alloc_gib,verdict,skipped_reason,max_qps,max_requests_per_minute,max_images_per_hour,rho_at_capacity,goodput_rps,sla_attainment_pct,max_concurrent_users,max_concurrent_inflight,requests_measured,dropped,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,predicted_mean_ms,mean_batch_size,queue_depth_max,p95_drift,harness_lag_ms,preprocess_ms,queue_wait_ms,inference_ms,ipc_ms,text_encode_ms,denoise_ms,vae_decode_ms,jpeg_encode_ms,cpu_logical_count,cpu_cores_busy_mean,cpu_cores_busy_max,proc_cpu_pct_mean,sys_cpu_pct_mean,rss_gib_max,threads_max,gpu_util_pct_mean,gpu_mem_util_pct_mean,gpu_mem_used_gib_max,gpu_power_w_mean,gpu_power_w_max,gpu_sm_clock_mhz_mean,gpu_temp_c_max,cpu_power_w_mean,power_w_mean,power_source,images_per_second_per_w,joules_per_image,host_source,shard_images,shard_compute_s,shard_images_per_second,files
server_vit_benchmark,diffusers,20260911_191358,SR650a V4,6787P,RTX PRO 6000,ThinkSystem SR650a V4,Intel(R) Xeon(R) 6787P,NVIDIA RTX PRO 6000 Blackwell Server Edition,"172 logical, 172 physical, 2 sockets",google/vit-base-patch16-224,ILSVRC/imagenet-1k,,cuda,,bfloat16,,,bf16,,256,32,,,,,,,5,42,2,,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,8,fast,,,,39896,,,332.467,49.271,0.0493,,33194,0.8320,,,,,,,,,,,,,,,,331.99,,,,,,1676.3,16.36,39896,,45.09,,89.08,147.14,359.95,,6.43,7,1.043,2.80,63.56,18.72,16.09,,,,,,172,8.83,10.37,882.6,5.2,2.44,30,9.5,1.0,1.89,118.8,135.0,2422,52,,,,,,logged,39896,,332.467,server_vit_google_vit-base-patch16-224_interactive_20260911_191358.txt
server_vit_benchmark,diffusers,20260911_193758,SR650a V4,6787P,RTX PRO 6000,ThinkSystem SR650a V4,Intel(R) Xeon(R) 6787P,NVIDIA RTX PRO 6000 Blackwell Server Edition,"172 logical, 172 physical, 2 sockets",google/vit-base-patch16-224,ILSVRC/imagenet-1k,,cuda,,bfloat16,,,bf16,,256,32,,,,,,,5,42,2,,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,12,fast,,,,38204,,,318.367,49.379,0.0494,,31788,0.8321,,,,,,,,,,,,,,,,317.92,,,,,,1605.3,15.70,38204,,45.18,,90.26,129.24,301.97,,7.52,13,1.107,3.26,53.93,23.00,22.05,,,,,,172,9.89,13.10,989.2,5.8,2.68,38,9.3,1.0,1.91,118.5,136.6,2422,52,,,,,,logged,38204,,318.367,server_vit_google_vit-base-patch16-224_interactive_20260911_193758.txt
server_vit_benchmark,diffusers,20260911_200154,SR650a V4,6787P,RTX PRO 6000,ThinkSystem SR650a V4,Intel(R) Xeon(R) 6787P,NVIDIA RTX PRO 6000 Blackwell Server Edition,"172 logical, 172 physical, 2 sockets",google/vit-base-patch16-224,ILSVRC/imagenet-1k,,cuda,,bfloat16,,,bf16,,256,32,,,,,,,5,42,2,,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,12,fast,,,,38204,,,318.367,47.719,0.0477,,31788,0.8321,,,,,,,,,,,,,,,,317.92,,,,,,1604.7,15.17,38204,,42.66,,88.02,143.70,357.50,,7.40,12,1.146,3.18,52.42,22.70,21.79,,,,,,172,9.79,13.35,979.5,5.7,2.65,38,9.4,1.0,1.91,118.2,135.1,2422,53,,,,,,logged,38204,,318.367,server_vit_google_vit-base-patch16-224_interactive_20260911_200154.txt
server_vit_benchmark,diffusers,20260911_202548,SR650a V4,6787P,RTX PRO 6000,ThinkSystem SR650a V4,Intel(R) Xeon(R) 6787P,NVIDIA RTX PRO 6000 Blackwell Server Edition,"172 logical, 172 physical, 2 sockets",google/vit-base-patch16-224,ILSVRC/imagenet-1k,,cuda,,bfloat16,,,bf16,,256,32,,,,,,,5,42,2,,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,16,fast,,,,36683,,,305.692,45.580,0.0456,,30519,0.8320,,,,,,,,,,,,,,,,304.44,,,,,,1536.1,13.88,36683,,38.77,,91.15,125.25,381.31,,7.54,17,1.045,3.29,50.93,23.09,24.62,,,,,,172,10.31,15.47,1031.4,6.0,2.87,46,9.2,1.0,1.91,116.0,133.1,2422,53,,,,,,logged,36683,,305.692,server_vit_google_vit-base-patch16-224_interactive_20260911_202548.txt
server_vit_benchmark,diffusers,20260911_204938,SR650a V4,6787P,RTX PRO 6000,ThinkSystem SR650a V4,Intel(R) Xeon(R) 6787P,NVIDIA RTX PRO 6000 Blackwell Server Edition,"172 logical, 172 physical, 2 sockets",google/vit-large-patch16-224,ILSVRC/imagenet-1k,,cuda,,bfloat16,,,bf16,,256,32,,,,,,,5,42,2,,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,8,fast,,,,36683,,,305.692,49.744,0.0497,,30661,0.8358,,,,,,,,,,,,,,,,304.44,,,,,,1537.3,15.14,36683,,46.95,,84.37,106.74,203.68,,7.26,11,1.064,2.81,49.15,22.50,22.77,,,,,,172,8.50,10.41,850.4,5.0,2.43,30,26.6,2.6,2.36,201.1,241.9,2418,74,,,,,,logged,36683,,305.692,server_vit_google_vit-large-patch16-224_interactive_20260911_204938.txt
server_vit_benchmark,diffusers,20260911_211345,SR650a V4,6787P,RTX PRO 6000,ThinkSystem SR650a V4,Intel(R) Xeon(R) 6787P,NVIDIA RTX PRO 6000 Blackwell Server Edition,"172 logical, 172 physical, 2 sockets",google/vit-large-patch16-224,ILSVRC/imagenet-1k,,cuda,,bfloat16,,,bf16,,256,32,,,,,,,5,42,2,,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,12,fast,,,,36683,,,305.692,55.129,0.0551,,30661,0.8358,,,,,,,,,,,,,,,,304.44,,,,,,1539.0,16.78,36683,,50.48,,97.66,146.69,380.45,,8.68,18,1.002,3.41,51.70,27.06,28.17,,,,,,172,9.69,12.93,969.0,5.6,2.70,38,25.9,2.4,2.48,196.3,243.2,2417,73,,,,,,logged,36683,,305.692,server_vit_google_vit-large-patch16-224_interactive_20260911_211345.txt
server_vit_benchmark,diffusers,20260911_213744,SR650a V4,6787P,RTX PRO 6000,ThinkSystem SR650a V4,Intel(R) Xeon(R) 6787P,NVIDIA RTX PRO 6000 Blackwell Server Edition,"172 logical, 172 physical, 2 sockets",google/vit-large-patch16-224,ILSVRC/imagenet-1k,,cuda,,bfloat16,,,bf16,,256,32,,,,,,,5,42,2,,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,16,fast,,,,33720,,,281.000,48.527,0.0485,,28188,0.8359,,,,,,,,,,,,,,,,279.17,,,,,,1409.4,13.55,33720,,41.27,,93.76,145.24,349.37,,7.84,22,1.158,3.19,47.20,25.13,28.81,,,,,,172,9.74,16.18,973.5,5.7,2.91,46,24.5,2.6,2.48,188.7,234.2,2419,71,,,,,,logged,33720,,281.000,server_vit_google_vit-large-patch16-224_interactive_20260911_213744.txt
server_vit_benchmark,diffusers,20260911_220137,SR650a V4,6787P,RTX PRO 6000,ThinkSystem SR650a V4,Intel(R) Xeon(R) 6787P,NVIDIA RTX PRO 6000 Blackwell Server Edition,"172 logical, 172 physical, 2 sockets",facebook/dinov2-giant,ILSVRC/imagenet-1k,,cuda,,bfloat16,,,bf16,,256,32,,,,,,,5,42,2,,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,8,fast,,,,16753,,,139.608,45.498,0.0455,,,,,,,,,,,,,,,,,,,139.58,,,,,,704.3,6.35,16753,,40.38,,86.76,123.65,208.19,,4.44,16,1.021,1.69,18.98,30.24,50.61,,,,,,172,5.45,7.64,544.8,3.2,2.40,30,54.5,7.7,4.53,284.7,354.0,2204,90,,,,,,logged,16753,,139.608,server_vit_facebook_dinov2-giant_interactive_20260911_220137.txt
server_vit_benchmark,diffusers,20260911_222245,SR650a V4,6787P,RTX PRO 6000,ThinkSystem SR650a V4,Intel(R) Xeon(R) 6787P,NVIDIA RTX PRO 6000 Blackwell Server Edition,"172 logical, 172 physical, 2 sockets",facebook/dinov2-giant,ILSVRC/imagenet-1k,,cuda,,bfloat16,,,bf16,,256,32,,,,,,,5,42,2,,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,12,fast,,,,17455,,,145.458,49.072,0.0491,,,,,,,,,,,,,,,,,,,145.76,,,,,,736.0,7.15,17455,,43.30,,95.84,131.18,214.55,,4.91,15,1.002,1.65,20.00,33.58,53.24,,,,,,172,5.82,8.19,581.8,3.4,2.62,38,57.6,7.8,4.53,283.9,365.5,2161,89,,,,,,logged,17455,,145.458,server_vit_facebook_dinov2-giant_interactive_20260911_222245.txt
server_vit_benchmark,diffusers,20260911_224354,SR650a V4,6787P,RTX PRO 6000,ThinkSystem SR650a V4,Intel(R) Xeon(R) 6787P,NVIDIA RTX PRO 6000 Blackwell Server Edition,"172 logical, 172 physical, 2 sockets",facebook/dinov2-giant,ILSVRC/imagenet-1k,,cuda,,bfloat16,,,bf16,,256,32,,,,,,,5,42,2,,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,16,fast,,,,17455,,,145.458,49.285,0.0493,,,,,,,,,,,,,,,,,,,145.76,,,,,,736.0,7.18,17455,,43.31,,96.63,137.91,219.97,,4.93,15,0.954,1.70,20.01,33.25,54.09,,,,,,172,5.84,8.17,583.6,3.4,2.86,46,57.9,7.8,4.53,286.1,351.3,2172,89,,,,,,logged,17455,,145.458,server_vit_facebook_dinov2-giant_interactive_20260911_224354.txt
